,spring_z_ndvi,lon,lat
21,1.419,-109.8405693,33.59909833
42,1.186,-109.7331994,33.61204069
63,1.972,-109.6257941,33.62488271
84,1.332,-109.8563333,33.68767044
105,0.718,-109.4261666,33.73888944
126,2.169,-109.872133,33.77622979
147,1.062,-109.6568816,33.80206641
168,0.725,-109.5492029,33.81483389
189,-1.012,-109.4414891,33.82750076
210,-0.434,-109.3337406,33.84006698
231,-0.78,-109.2259575,33.8525325
252,-0.303,-109.1181401,33.86489728
273,1.07,-109.6724783,33.89063947
294,-0.02,-109.4568465,33.91609974
315,0.23,-109.3489781,33.92867877
336,0.576,-109.241075,33.941157
357,0.536,-109.1331376,33.95353441
378,1.202,-109.6881104,33.97920025
399,0.493,-109.5801922,33.99199379
420,0.785,-109.4722387,34.00468653
441,0.512,-109.3642502,34.01727842
462,0.516,-109.2562269,34.02976944
483,1.128,-109.1481692,34.04215952
504,0.542,-109.703778,34.0677489
525,0.431,-109.5957397,34.08055555
546,0.831,-109.4876659,34.09326131
567,1.158,-109.3795571,34.10586613
588,0.956,-109.2714133,34.11836997
609,0.808,-109.163235,34.13077278
630,0.758,-109.0550223,34.14307453
651,-0.346,-109.6113225,34.16910544
672,0.657,-109.5031283,34.18182427
693,0.971,-109.3948988,34.19444207
714,1.035,-109.2866343,34.20695879
735,0.484,-109.1783351,34.21937439
756,0.677,-109.0700015,34.23168882
777,1.142,-109.7352203,34.24481057
798,1.277,-109.6269409,34.25764361
819,1.461,-109.5186259,34.27037558
840,0.855,-109.4102756,34.28300641
861,0.991,-109.3018901,34.29553607
882,0.327,-109.1934698,34.30796451
903,0.668,-109.0850149,34.32029168
924,1.715,-109.7509953,34.33332393
945,1.615,-109.642595,34.34617026
966,1.562,-109.534159,34.35891541
987,1.215,-109.4256874,34.37155933
1008,1.232,-109.3171807,34.38410198
1029,0.43,-109.2086389,34.39654331
1050,0.964,-109.1000625,34.40888329
1071,1.901,-109.7668062,34.42182589
1092,1.892,-109.6582848,34.43468555
1113,2.075,-109.5497275,34.44744394
1134,1.583,-109.4411345,34.46010101
1155,1.479,-109.3325062,34.47265671
1176,1.155,-109.2238428,34.48511099
1197,1.44,-109.1151446,34.49746382
1218,2.26,-109.7826533,34.51031661
1239,2.069,-109.6740105,34.52318967
1260,2.074,-109.5653316,34.53596136
1281,1.585,-109.4566169,34.54863163
1302,1.27,-109.3478668,34.56120043
1323,1.237,-109.2390815,34.57366772
1344,1.671,-109.1302613,34.58603346
1365,2.059,-109.7985367,34.59879628
1386,1.745,-109.6897721,34.61168279
1407,1.737,-109.5809714,34.62446784
1428,1.526,-109.4721348,34.63715136
1449,1.388,-109.3632627,34.64973332
1470,1.441,-109.2543552,34.66221367
1491,1.503,-109.1454126,34.67459237
1512,2.034,-109.8144565,34.68726507
1533,2.188,-109.7055699,34.70016509
1554,1.736,-109.5966471,34.71296355
1575,1.922,-109.4876883,34.72566039
1596,1.882,-109.3786938,34.73825556
1617,1.82,-109.2696639,34.75074903
1638,2.21,-109.1605987,34.76314075
1659,1.783,-109.0514987,34.77543068
1680,1.728,-109.8304128,34.77572316
1701,2.293,-109.721404,34.78863676
1722,1.814,-109.6123588,34.80144868
1743,1.489,-109.5032775,34.81415889
1764,1.673,-109.3941604,34.82676734
1785,1.369,-109.2850077,34.83927398
1806,1.803,-109.1758197,34.85167878
1827,2.062,-109.0665967,34.86398167
1848,2.191,-109.7372744,34.87709796
1869,1.727,-109.6281066,34.88992341
1890,1.328,-109.5189026,34.90264705
1911,1.824,-109.4096626,34.91526883
1932,1.688,-109.3003869,34.9277887
1953,1.898,-109.1910758,34.94020662
1974,1.793,-109.0817295,34.95252255
1995,2.172,-109.7531814,34.96554888
2016,1.877,-109.6438906,34.97838791
2037,1.377,-109.5345636,34.99112504
2058,1.545,-109.4252004,35.0037602
2079,1.756,-109.3158014,35.01629336
2100,1.675,-109.2063669,35.02872447
2121,1.808,-109.0968972,35.04105349
2142,1.178,-109.7691249,35.05398969
