"","ClassA","lon","lat"
"10",3,-109.7709713,31.34166052
"11",3,-109.6665902,31.35458754
"12",2,-109.5621758,31.36741655
"13",4,-109.4577285,31.38014751
"25",5,-110.5167195,31.33725481
"26",3,-110.4124659,31.35087941
"27",5,-110.3081773,31.3644062
"28",3,-110.203854,31.37783512
"29",4,-110.0994961,31.39116615
"30",3,-109.995104,31.40439923
"31",4,-109.8906779,31.41753434
"32",3,-109.786218,31.43057143
"33",3,-109.6817245,31.44351046
"34",3,-109.5771977,31.45635139
"35",2,-109.4726378,31.46909419
"57",3,-111.0540774,31.35640854
"58",3,-110.9498909,31.37053466
"59",3,-110.8456681,31.38456309
"60",3,-110.7414093,31.39849379
"61",3,-110.6371148,31.41232671
"62",5,-110.5327847,31.42606181
"63",2,-110.4284193,31.43969905
"64",3,-110.3240187,31.45323839
"65",1,-110.2195834,31.46667979
"66",3,-110.1151134,31.48002321
"67",3,-110.0106091,31.49326861
"68",3,-109.9060706,31.50641594
"69",3,-109.8014982,31.51946517
"70",4,-109.6968921,31.53241626
"71",5,-109.5922526,31.54526917
"72",3,-109.4875799,31.55802385
"112",4,-111.2792221,31.41656186
"113",3,-111.1749975,31.43089651
"114",3,-111.0707362,31.44513347
"115",3,-110.9664382,31.45927269
"116",3,-110.8621039,31.47331414
"117",3,-110.7577335,31.48725778
"118",4,-110.6533271,31.50110356
"119",3,-110.5488851,31.51485143
"120",6,-110.4444077,31.52850137
"121",6,-110.339895,31.54205332
"122",3,-110.2353474,31.55550725
"123",3,-110.1307651,31.56886311
"124",4,-110.0261482,31.58212087
"125",4,-109.9214971,31.59528048
"126",3,-109.816812,31.60834191
"127",3,-109.7120931,31.62130511
"128",3,-109.6073407,31.63417005
"129",3,-109.502555,31.64693668
"186",3,-111.5047006,31.47625368
"187",3,-111.4004393,31.49079706
"188",4,-111.2961405,31.50524275
"189",4,-111.1918045,31.51959072
"190",3,-111.0874316,31.53384092
"191",5,-110.983022,31.5479933
"192",5,-110.8785759,31.56204783
"193",5,-110.7740935,31.57600446
"194",4,-110.6695752,31.58986315
"195",3,-110.565021,31.60362386
"196",3,-110.4604313,31.61728654
"197",3,-110.3558063,31.63085116
"198",6,-110.2511461,31.64431767
"199",3,-110.1464512,31.65768603
"200",3,-110.0417216,31.6709562
"201",3,-109.9369577,31.68412814
"202",5,-109.8321597,31.69720182
"203",3,-109.7273277,31.71017718
"204",2,-109.6224621,31.72305419
"205",4,-109.5175631,31.73583282
"206",3,-109.4126309,31.74851301
"266",3,-111.6262142,31.55023551
"267",2,-111.5218792,31.56489014
"268",3,-111.4175064,31.57944706
"269",3,-111.3130961,31.59390622
"270",2,-111.2086485,31.60826756
"271",5,-111.1041638,31.62253105
"272",3,-110.9996423,31.63669665
"273",6,-110.8950841,31.65076431
"274",5,-110.7904896,31.66473399
"275",3,-110.685859,31.67860565
"276",3,-110.5811924,31.69237924
"277",3,-110.4764902,31.70605473
"278",3,-110.3717526,31.71963206
"279",3,-110.2669797,31.73311121
"280",3,-110.1621719,31.74649212
"281",3,-110.0573294,31.75977476
"282",3,-109.9524524,31.77295909
"283",3,-109.8475412,31.78604506
"284",4,-109.7425959,31.79903264
"285",4,-109.6376169,31.81192178
"286",3,-109.5326044,31.82471245
"287",3,-109.4275586,31.8374046
"348",3,-111.8523205,31.60921105
"349",3,-111.7479505,31.62407483
"350",3,-111.6435421,31.63884091
"351",3,-111.5390955,31.65350923
"352",2,-111.4346111,31.66807974
"353",3,-111.330089,31.68255241
"354",4,-111.2255295,31.69692719
"355",3,-111.1209328,31.71120404
"356",3,-111.0162991,31.72538291
"357",4,-110.9116287,31.73946376
"358",3,-110.8069218,31.75344654
"359",3,-110.7021787,31.76733122
"360",3,-110.5973995,31.78111776
"361",3,-110.4925846,31.7948061
"362",4,-110.3877341,31.8083962
"363",3,-110.2828483,31.82188804
"364",2,-110.1779274,31.83528156
"365",3,-110.0729717,31.84857672
"366",3,-109.9679814,31.86177348
"367",3,-109.8629567,31.8748718
"368",2,-109.757898,31.88787165
"369",3,-109.6528053,31.90077297
"370",1,-109.547679,31.91357574
"371",3,-109.4425193,31.9262799
"432",2,-112.0787565,31.66772288
"433",3,-111.9743526,31.68279602
"434",3,-111.8699097,31.69777146
"435",5,-111.7654281,31.71264915
"436",3,-111.6609081,31.72742904
"437",4,-111.5563498,31.74211109
"438",3,-111.4517535,31.75669527
"439",3,-111.3471194,31.77118151
"440",4,-111.2424477,31.78556978
"441",4,-111.1377387,31.79986004
"442",4,-111.0329927,31.81405223
"443",0,-110.9282098,31.82814633
"444",3,-110.8233903,31.84214228
"445",3,-110.7185344,31.85604003
"446",3,-110.6136424,31.86983956
"447",3,-110.5087145,31.88354081
"448",3,-110.4037509,31.89714375
"449",5,-110.2987519,31.91064832
"450",3,-110.1937177,31.9240545
"451",3,-110.0886486,31.93736224
"452",3,-109.9835447,31.95057149
"453",3,-109.8784064,31.96368221
"454",5,-109.7732338,31.97669438
"455",5,-109.6680273,31.98960794
"456",3,-109.562787,32.00242285
"457",3,-109.4575132,32.01513908
"518",2,-112.3055201,31.72577022
"519",3,-112.2010835,31.74105291
"520",3,-112.0966074,31.75623791
"521",4,-111.992092,31.77132517
"522",3,-111.8875376,31.78631464
"523",4,-111.7829442,31.80120629
"524",3,-111.6783123,31.81600006
"525",3,-111.573642,31.83069591
