spring_delta_ndvi,lon,lat,geometry
20.639,-109.8405693,33.59909833,Point
15.212,-109.7331994,33.61204069,Point
11.002,-109.6257941,33.62488271,Point
17.924,-109.8563333,33.68767044,Point
6.426,-109.4261666,33.73888944,Point
12.423,-109.872133,33.77622979,Point
9.329,-109.6568816,33.80206641,Point
6.311,-109.5492029,33.81483389,Point
-10.898,-109.4414891,33.82750076,Point
-3.516,-109.3337406,33.84006698,Point
-8.838,-109.2259575,33.8525325,Point
-2.37,-109.1181401,33.86489728,Point
9.719,-109.6724783,33.89063947,Point
-0.233,-109.4568465,33.91609974,Point
2.52,-109.3489781,33.92867877,Point
4.124,-109.241075,33.941157,Point
2.914,-109.1331376,33.95353441,Point
11.89,-109.6881104,33.97920025,Point
5.755,-109.5801922,33.99199379,Point
6.527,-109.4722387,34.00468653,Point
5.305,-109.3642502,34.01727842,Point
5.453,-109.2562269,34.02976944,Point
10.653,-109.1481692,34.04215952,Point
5.916,-109.703778,34.0677489,Point
5.333,-109.5957397,34.08055555,Point
7.73,-109.4876659,34.09326131,Point
19.21,-109.3795571,34.10586613,Point
11.987,-109.2714133,34.11836997,Point
5.817,-109.163235,34.13077278,Point
6.211,-109.0550223,34.14307453,Point
-1.558,-109.6113225,34.16910544,Point
8.756,-109.5031283,34.18182427,Point
14.098,-109.3948988,34.19444207,Point
13.019,-109.2866343,34.20695879,Point
3.126,-109.1783351,34.21937439,Point
5.657,-109.0700015,34.23168882,Point
12.912,-109.7352203,34.24481057,Point
15.376,-109.6269409,34.25764361,Point
17.219,-109.5186259,34.27037558,Point
8.813,-109.4102756,34.28300641,Point
8.66,-109.3018901,34.29553607,Point
2.511,-109.1934698,34.30796451,Point
5.204,-109.0850149,34.32029168,Point
14.866,-109.7509953,34.33332393,Point
20.594,-109.642595,34.34617026,Point
18.8,-109.534159,34.35891541,Point
8.7,-109.4256874,34.37155933,Point
7.241,-109.3171807,34.38410198,Point
2.265,-109.2086389,34.39654331,Point
8.302,-109.1000625,34.40888329,Point
13.18,-109.7668062,34.42182589,Point
14.299,-109.6582848,34.43468555,Point
16.881,-109.5497275,34.44744394,Point
12.272,-109.4411345,34.46010101,Point
8.359,-109.3325062,34.47265671,Point
7.844,-109.2238428,34.48511099,Point
9.53,-109.1151446,34.49746382,Point
15.767,-109.7826533,34.51031661,Point
17.373,-109.6740105,34.52318967,Point
18.257,-109.5653316,34.53596136,Point
18.598,-109.4566169,34.54863163,Point
10.496,-109.3478668,34.56120043,Point
10.858,-109.2390815,34.57366772,Point
10.966,-109.1302613,34.58603346,Point
14.986,-109.7985367,34.59879628,Point
13.736,-109.6897721,34.61168279,Point
14.674,-109.5809714,34.62446784,Point
14.235,-109.4721348,34.63715136,Point
12.446,-109.3632627,34.64973332,Point
10.747,-109.2543552,34.66221367,Point
9.51,-109.1454126,34.67459237,Point
14.964,-109.8144565,34.68726507,Point
18.98,-109.7055699,34.70016509,Point
11.398,-109.5966471,34.71296355,Point
11.668,-109.4876883,34.72566039,Point
14.827,-109.3786938,34.73825556,Point
11.434,-109.2696639,34.75074903,Point
17.407,-109.1605987,34.76314075,Point
10.395,-109.0514987,34.77543068,Point
17.422,-109.8304128,34.77572316,Point
22.609,-109.721404,34.78863676,Point
14.437,-109.6123588,34.80144868,Point
7.933,-109.5032775,34.81415889,Point
7.252,-109.3941604,34.82676734,Point
4.426,-109.2850077,34.83927398,Point
7.691,-109.1758197,34.85167878,Point
11.348,-109.0665967,34.86398167,Point
23.573,-109.7372744,34.87709796,Point
18.988,-109.6281066,34.88992341,Point
10.094,-109.5189026,34.90264705,Point
20.418,-109.4096626,34.91526883,Point
12.957,-109.3003869,34.9277887,Point
17.18,-109.1910758,34.94020662,Point
8.006,-109.0817295,34.95252255,Point
20.583,-109.7531814,34.96554888,Point
18.102,-109.6438906,34.97838791,Point
12.577,-109.5345636,34.99112504,Point
13.809,-109.4252004,35.0037602,Point
19.57,-109.3158014,35.01629336,Point
19.162,-109.2063669,35.02872447,Point
15.891,-109.0968972,35.04105349,Point
11.173,-109.7691249,35.05398969,Point
13.163,-109.659711,35.06684238,Point
18.57,-109.5502606,35.07959304,Point
10.804,-109.4407741,35.09224165,Point
15.788,-109.3312515,35.10478816,Point
14.899,-109.2216934,35.11723251,Point
12.552,-109.1120998,35.12957467,Point
6.74,-109.7851052,35.14242059,Point
10.083,-109.6755679,35.15528698,Point
12.038,-109.5659939,35.16805125,Point
6.82,-109.4563836,35.18071336,Point
9.628,-109.3467373,35.19327326,Point
10.005,-109.2370552,35.20573091,Point
10.266,-109.1273376,35.21808627,Point
4.129,-109.8011224,35.23084175,Point
7.523,-109.6914613,35.2437219,Point
19.836,-109.5817635,35.25649983,Point
5.8,-109.4720293,35.2691755,Point
7.839,-109.3622588,35.28174886,Point
8.391,-109.2524525,35.29421987,Point
12.163,-109.1426106,35.30658848,Point
9.204,-109.8171765,35.31925335,Point
11.624,-109.7073915,35.33214732,Point
13.523,-109.5975696,35.34493897,Point
7.293,-109.4877111,35.35762825,Point
8.045,-109.3778163,35.37021513,Point
7.905,-109.2678855,35.38269956,Point
6.985,-109.1579189,35.39508148,Point
6.475,-109.0479169,35.40736086,Point
14.763,-109.8332678,35.40765558,Point
11.466,-109.7233585,35.42056342,Point
10.609,-109.6134122,35.43336885,Point
5.972,-109.5034292,35.44607181,Point
5.901,-109.3934098,35.45867226,Point
5.823,-109.2833542,35.47117016,Point
7.79,-109.1732627,35.48356545,Point
3.526,-109.0631356,35.4958581,Point
9.943,-109.7393625,35.50897039,Point
7.017,-109.6292916,35.52178965,Point
6.946,-109.5191838,35.53450635,Point
5.353,-109.4090394,35.54712044,Point
6.873,-109.2988588,35.55963186,Point
6.753,-109.1886421,35.57204059,Point
5.847,-109.0783898,35.58434655,Point
7.179,-109.7554037,35.59736841,Point
6.275,-109.6452077,35.61020157,Point
4.608,-109.5349749,35.62293206,Point
7.283,-109.4247053,35.63555984,Point
5.086,-109.3143993,35.64808485,Point
5.573,-109.2040573,35.66050706,Point
5.983,-109.0936793,35.67282641,Point
8.922,-109.8817658,35.67280782,Point
3.328,-109.771482,35.68575766,Point
3.71,-109.6611609,35.69860478,Point
4.633,-109.5508027,35.71134912,Point
4.24,-109.4404076,35.72399065,Point
