lon,lat,spring_delta_ndvi
-109.8405693,33.59909833,20.639
-109.7331994,33.61204069,15.212
-109.6257941,33.62488271,11.002
-109.8563333,33.68767044,17.924
-109.4261666,33.73888944,6.426
-109.872133,33.77622979,12.423
-109.6568816,33.80206641,9.329
-109.5492029,33.81483389,6.311
-109.4414891,33.82750076,-10.898
-109.3337406,33.84006698,-3.516
-109.2259575,33.8525325,-8.838
-109.1181401,33.86489728,-2.37
-109.6724783,33.89063947,9.719
-109.4568465,33.91609974,-0.233
-109.3489781,33.92867877,2.52
-109.241075,33.941157,4.124
-109.1331376,33.95353441,2.914
-109.6881104,33.97920025,11.89
-109.5801922,33.99199379,5.755
-109.4722387,34.00468653,6.527
-109.3642502,34.01727842,5.305
-109.2562269,34.02976944,5.453
-109.1481692,34.04215952,10.653
-109.703778,34.0677489,5.916
-109.5957397,34.08055555,5.333
-109.4876659,34.09326131,7.73
-109.3795571,34.10586613,19.21
-109.2714133,34.11836997,11.987
-109.163235,34.13077278,5.817
-109.0550223,34.14307453,6.211
-109.6113225,34.16910544,-1.558
-109.5031283,34.18182427,8.756
-109.3948988,34.19444207,14.098
-109.2866343,34.20695879,13.019
-109.1783351,34.21937439,3.126
-109.0700015,34.23168882,5.657
-109.7352203,34.24481057,12.912
-109.6269409,34.25764361,15.376
-109.5186259,34.27037558,17.219
-109.4102756,34.28300641,8.813
-109.3018901,34.29553607,8.66
-109.1934698,34.30796451,2.511
-109.0850149,34.32029168,5.204
-109.7509953,34.33332393,14.866
-109.642595,34.34617026,20.594
-109.534159,34.35891541,18.8
-109.4256874,34.37155933,8.7
-109.3171807,34.38410198,7.241
-109.2086389,34.39654331,2.265
-109.1000625,34.40888329,8.302
-109.7668062,34.42182589,13.18
-109.6582848,34.43468555,14.299
-109.5497275,34.44744394,16.881
-109.4411345,34.46010101,12.272
-109.3325062,34.47265671,8.359
-109.2238428,34.48511099,7.844
-109.1151446,34.49746382,9.53
-109.7826533,34.51031661,15.767
-109.6740105,34.52318967,17.373
-109.5653316,34.53596136,18.257
-109.4566169,34.54863163,18.598
-109.3478668,34.56120043,10.496
-109.2390815,34.57366772,10.858
-109.1302613,34.58603346,10.966
-109.7985367,34.59879628,14.986
-109.6897721,34.61168279,13.736
-109.5809714,34.62446784,14.674
-109.4721348,34.63715136,14.235
-109.3632627,34.64973332,12.446
-109.2543552,34.66221367,10.747
-109.1454126,34.67459237,9.51
-109.8144565,34.68726507,14.964
-109.7055699,34.70016509,18.98
-109.5966471,34.71296355,11.398
-109.4876883,34.72566039,11.668
-109.3786938,34.73825556,14.827
-109.2696639,34.75074903,11.434
-109.1605987,34.76314075,17.407
-109.0514987,34.77543068,10.395
-109.8304128,34.77572316,17.422
-109.721404,34.78863676,22.609
-109.6123588,34.80144868,14.437
-109.5032775,34.81415889,7.933
-109.3941604,34.82676734,7.252
-109.2850077,34.83927398,4.426
-109.1758197,34.85167878,7.691
-109.0665967,34.86398167,11.348
-109.7372744,34.87709796,23.573
-109.6281066,34.88992341,18.988
-109.5189026,34.90264705,10.094
-109.4096626,34.91526883,20.418
-109.3003869,34.9277887,12.957
-109.1910758,34.94020662,17.18
-109.0817295,34.95252255,8.006
-109.7531814,34.96554888,20.583
-109.6438906,34.97838791,18.102
-109.5345636,34.99112504,12.577
-109.4252004,35.0037602,13.809
-109.3158014,35.01629336,19.57
-109.2063669,35.02872447,19.162
-109.0968972,35.04105349,15.891
-109.7691249,35.05398969,11.173
-109.659711,35.06684238,13.163
-109.5502606,35.07959304,18.57
-109.4407741,35.09224165,10.804
-109.3312515,35.10478816,15.788
-109.2216934,35.11723251,14.899
-109.1120998,35.12957467,12.552
-109.7851052,35.14242059,6.74
-109.6755679,35.15528698,10.083
-109.5659939,35.16805125,12.038
-109.4563836,35.18071336,6.82
-109.3467373,35.19327326,9.628
-109.2370552,35.20573091,10.005
-109.1273376,35.21808627,10.266
-109.8011224,35.23084175,4.129
-109.6914613,35.2437219,7.523
-109.5817635,35.25649983,19.836
-109.4720293,35.2691755,5.8
-109.3622588,35.28174886,7.839
-109.2524525,35.29421987,8.391
-109.1426106,35.30658848,12.163
-109.8171765,35.31925335,9.204
-109.7073915,35.33214732,11.624
-109.5975696,35.34493897,13.523
-109.4877111,35.35762825,7.293
-109.3778163,35.37021513,8.045
-109.2678855,35.38269956,7.905
-109.1579189,35.39508148,6.985
-109.0479169,35.40736086,6.475
-109.8332678,35.40765558,14.763
-109.7233585,35.42056342,11.466
-109.6134122,35.43336885,10.609
-109.5034292,35.44607181,5.972
-109.3934098,35.45867226,5.901
-109.2833542,35.47117016,5.823
-109.1732627,35.48356545,7.79
-109.0631356,35.4958581,3.526
-109.7393625,35.50897039,9.943
-109.6292916,35.52178965,7.017
-109.5191838,35.53450635,6.946
-109.4090394,35.54712044,5.353
-109.2988588,35.55963186,6.873
-109.1886421,35.57204059,6.753
-109.0783898,35.58434655,5.847
-109.7554037,35.59736841,7.179
-109.6452077,35.61020157,6.275
-109.5349749,35.62293206,4.608
-109.4247053,35.63555984,7.283
-109.3143993,35.64808485,5.086
-109.2040573,35.66050706,5.573
-109.0936793,35.67282641,5.983
-109.8817658,35.67280782,8.922
-109.771482,35.68575766,3.328
-109.6611609,35.69860478,3.71
-109.5508027,35.71134912,4.633
-109.4404076,35.72399065,4.24
-109.329976,35.73652931,7.044
-109.2195082,35.74896506,9.768
-109.1090044,35.76129785,5.79
-109.8980069,35.76117437,3.575
-109.7875978,35.77413833,1.505
-109.6771511,35.78699946,2.132
-109.5666673,35.79975772,3.857
-109.4561465,35.81241305,2.849
-109.345589,35.82496542,4.198
-109.2349952,35.83741477,10.061
-109.1243652,35.84976106,3.807
-109.9142858,35.84953247,0.87
-109.803751,35.8625106,-0.002
-109.6931786,35.87538581,4.065
-109.5825688,35.88815804,4.652
-109.4719219,35.90082724,4.733
-109.3612383,35.91339337,2.185
-109.2505182,35.92585638,6.144
-109.1397619,35.93821622,3.08
-109.9306026,35.93788228,1.644
-109.8199418,35.95087466,1.777
-109.7092434,35.963764,1.813
-109.5985074,35.97655026,5.46
-109.4877342,35.98923339,5.56
-109.3769242,36.00181335,3.119
-109.2660775,36.01429008,4.61
-109.1551944,36.02666353,3.693
-109.9469574,36.02622401,2.413
-109.8361705,36.03923069,2.375
-109.7253456,36.05213423,3.353
-109.6144832,36.06493458,7.767
-109.5035834,36.0776317,5.892
-109.3926466,36.09022554,1.797
-109.2816731,36.10271604,2.538
-109.170663,36.11510317,2.713
-109.0596168,36.12738687,1.964
-109.9633504,36.11455783,6.068
-109.852437,36.12757887,2.513
-109.7414855,36.14049667,5.795
-109.6304963,36.15331118,7.715
-109.5194697,36.16602235,5.807
-109.4084058,36.17863013,3.638
-109.2973051,36.19113447,2.404
-109.1861678,36.20353532,2.997
-109.0749942,36.21583265,5.846
-109.9797817,36.20288394,2.513
-109.8687415,36.2159194,-0.686
-109.7576631,36.22885152,-0.667
-109.6465469,36.24168024,2.987
-109.5353931,36.25440552,3.749
