spring_delta_ndvi,lon,lat,geometry
20.639,-109.84057,33.5990983,Point
15.212,-109.7332,33.6120407,Point
11.002,-109.62579,33.6248827,Point
17.924,-109.85633,33.6876704,Point
6.426,-109.42617,33.7388894,Point
12.423,-109.87213,33.7762298,Point
9.329,-109.65688,33.8020664,Point
6.311,-109.5492,33.8148339,Point
-10.898,-109.44149,33.8275008,Point
-3.516,-109.33374,33.840067,Point
-8.838,-109.22596,33.8525325,Point
-2.37,-109.11814,33.8648973,Point
9.719,-109.67248,33.8906395,Point
-0.233,-109.45685,33.9160997,Point
2.52,-109.34898,33.9286788,Point
4.124,-109.24108,33.941157,Point
2.914,-109.13314,33.9535344,Point
11.89,-109.68811,33.9792003,Point
5.755,-109.58019,33.9919938,Point
6.527,-109.47224,34.0046865,Point
5.305,-109.36425,34.0172784,Point
5.453,-109.25623,34.0297694,Point
10.653,-109.14817,34.0421595,Point
5.916,-109.70378,34.0677489,Point
5.333,-109.59574,34.0805556,Point
7.73,-109.48767,34.0932613,Point
19.21,-109.37956,34.1058661,Point
11.987,-109.27141,34.11837,Point
5.817,-109.16324,34.1307728,Point
6.211,-109.05502,34.1430745,Point
-1.558,-109.61132,34.1691054,Point
8.756,-109.50313,34.1818243,Point
14.098,-109.3949,34.1944421,Point
13.019,-109.28663,34.2069588,Point
3.126,-109.17834,34.2193744,Point
5.657,-109.07,34.2316888,Point
12.912,-109.73522,34.2448106,Point
15.376,-109.62694,34.2576436,Point
17.219,-109.51863,34.2703756,Point
8.813,-109.41028,34.2830064,Point
8.66,-109.30189,34.2955361,Point
2.511,-109.19347,34.3079645,Point
5.204,-109.08501,34.3202917,Point
14.866,-109.751,34.3333239,Point
20.594,-109.6426,34.3461703,Point
18.8,-109.53416,34.3589154,Point
8.7,-109.42569,34.3715593,Point
7.241,-109.31718,34.384102,Point
2.265,-109.20864,34.3965433,Point
8.302,-109.10006,34.4088833,Point
13.18,-109.76681,34.4218259,Point
14.299,-109.65828,34.4346856,Point
16.881,-109.54973,34.4474439,Point
12.272,-109.44113,34.460101,Point
8.359,-109.33251,34.4726567,Point
7.844,-109.22384,34.485111,Point
9.53,-109.11514,34.4974638,Point
15.767,-109.78265,34.5103166,Point
17.373,-109.67401,34.5231897,Point
18.257,-109.56533,34.5359614,Point
18.598,-109.45662,34.5486316,Point
10.496,-109.34787,34.5612004,Point
10.858,-109.23908,34.5736677,Point
10.966,-109.13026,34.5860335,Point
14.986,-109.79854,34.5987963,Point
13.736,-109.68977,34.6116828,Point
14.674,-109.58097,34.6244678,Point
14.235,-109.47213,34.6371514,Point
12.446,-109.36326,34.6497333,Point
10.747,-109.25436,34.6622137,Point
9.51,-109.14541,34.6745924,Point
14.964,-109.81446,34.6872651,Point
18.98,-109.70557,34.7001651,Point
11.398,-109.59665,34.7129636,Point
11.668,-109.48769,34.7256604,Point
14.827,-109.37869,34.7382556,Point
11.434,-109.26966,34.750749,Point
17.407,-109.1606,34.7631408,Point
10.395,-109.0515,34.7754307,Point
17.422,-109.83041,34.7757232,Point
22.609,-109.7214,34.7886368,Point
14.437,-109.61236,34.8014487,Point
7.933,-109.50328,34.8141589,Point
7.252,-109.39416,34.8267673,Point
4.426,-109.28501,34.839274,Point
7.691,-109.17582,34.8516788,Point
11.348,-109.0666,34.8639817,Point
23.573,-109.73727,34.877098,Point
18.988,-109.62811,34.8899234,Point
10.094,-109.5189,34.9026471,Point
20.418,-109.40966,34.9152688,Point
12.957,-109.30039,34.9277887,Point
17.18,-109.19108,34.9402066,Point
8.006,-109.08173,34.9525226,Point
20.583,-109.75318,34.9655489,Point
18.102,-109.64389,34.9783879,Point
12.577,-109.53456,34.991125,Point
13.809,-109.4252,35.0037602,Point
19.57,-109.3158,35.0162934,Point
19.162,-109.20637,35.0287245,Point
15.891,-109.0969,35.0410535,Point
11.173,-109.76912,35.0539897,Point
13.163,-109.65971,35.0668424,Point
18.57,-109.55026,35.079593,Point
10.804,-109.44077,35.0922417,Point
15.788,-109.33125,35.1047882,Point
14.899,-109.22169,35.1172325,Point
12.552,-109.1121,35.1295747,Point
6.74,-109.78511,35.1424206,Point
10.083,-109.67557,35.155287,Point
12.038,-109.56599,35.1680513,Point
6.82,-109.45638,35.1807134,Point
9.628,-109.34674,35.1932733,Point
10.005,-109.23706,35.2057309,Point
10.266,-109.12734,35.2180863,Point
4.129,-109.80112,35.2308418,Point
7.523,-109.69146,35.2437219,Point
19.836,-109.58176,35.2564998,Point
5.8,-109.47203,35.2691755,Point
7.839,-109.36226,35.2817489,Point
8.391,-109.25245,35.2942199,Point
12.163,-109.14261,35.3065885,Point
9.204,-109.81718,35.3192534,Point
11.624,-109.70739,35.3321473,Point
13.523,-109.59757,35.344939,Point
7.293,-109.48771,35.3576283,Point
8.045,-109.37782,35.3702151,Point
7.905,-109.26789,35.3826996,Point
6.985,-109.15792,35.3950815,Point
6.475,-109.04792,35.4073609,Point
14.763,-109.83327,35.4076556,Point
11.466,-109.72336,35.4205634,Point
10.609,-109.61341,35.4333689,Point
5.972,-109.50343,35.4460718,Point
5.901,-109.39341,35.4586723,Point
5.823,-109.28335,35.4711702,Point
7.79,-109.17326,35.4835655,Point
3.526,-109.06314,35.4958581,Point
9.943,-109.73936,35.5089704,Point
7.017,-109.62929,35.5217897,Point
6.946,-109.51918,35.5345064,Point
5.353,-109.40904,35.5471204,Point
6.873,-109.29886,35.5596319,Point
6.753,-109.18864,35.5720406,Point
5.847,-109.07839,35.5843466,Point
7.179,-109.7554,35.5973684,Point
6.275,-109.64521,35.6102016,Point
4.608,-109.53497,35.6229321,Point
7.283,-109.42471,35.6355598,Point
5.086,-109.3144,35.6480849,Point
5.573,-109.20406,35.6605071,Point
5.983,-109.09368,35.6728264,Point
8.922,-109.88177,35.6728078,Point
3.328,-109.77148,35.6857577,Point
3.71,-109.66116,35.6986048,Point
4.633,-109.5508,35.7113491,Point
4.24,-109.44041,35.7239907,Point
