"","ClassA","lon","lat"
"1293",3,-110.4434819,32.70877407
"1073",3,-112.6248968,32.22529812
"1006",5,-109.5481789,32.547965
"3144",3,-112.0370039,34.12846026
"5293",3,-113.0922543,35.88401548
"2732",2,-112.2854069,33.73024037
"3662",3,-110.3915055,34.79800976
"1504",6,-109.7312108,32.97872192
"2858",1,-109.6113225,34.16910544
"286",3,-109.5326044,31.82471245
"277",3,-110.4764902,31.70605473
"1165",4,-113.2734449,32.21809392
"2501",4,-114.4828991,33.21204889
"436",3,-111.6609081,31.72742904
"3249",4,-111.8396775,34.24652933
"5981",3,-112.6461832,36.94520396
"5979",5,-112.869314,36.91389103
"4866",6,-113.9959937,35.38520874
"5768",3,-110.1909489,36.71946173
"5502",2,-113.242515,36.04366839
"3568",3,-109.6123588,34.80144868
"4775",5,-112.6646199,35.49177612
"2933",3,-112.9657438,33.81304675
"983",4,-111.976262,32.22877791
"267",2,-111.5218792,31.56489014
"442",4,-111.0329927,31.81405223
"2955",3,-110.1679761,34.19246842
"1467",3,-113.6468789,32.43350529
"358",3,-110.8069218,31.75344654
"1500",3,-110.1570414,32.92631639
"791",5,-112.3599799,31.99112667
"1264",3,-113.5026151,32.27366344
"4888",3,-111.5857934,35.73066698
"1707",2,-110.721692,33.0356529
"2638",2,-110.9802829,33.81783175
"4151",4,-112.6577655,34.94825965
"4785",3,-111.5676039,35.64254305
"5944",3,-111.1553183,36.96242305
"1793",3,-112.6500047,32.85900754
"4980",4,-112.9228693,35.63624656
"5089",3,-112.3932619,35.80207902
"1188",4,-110.8506913,32.56512707
"4373",2,-111.0572411,35.3471568
"3953",4,-111.8590013,34.87862209
"3157",3,-110.308866,34.35600997
"1698",5,-111.678088,32.90721095
"5284",4,-114.0799804,35.73611394
"2005",3,-112.6875598,33.03548043
"2711",4,-114.5247252,33.38779242
"1992",2,-114.0628365,32.82366288
"5395",2,-113.4423069,35.92343874
"2826",4,-113.2671052,33.67688266
"448",3,-110.4037509,31.89714375
"2323",3,-111.3573122,33.49577434
"280",3,-110.1621719,31.74649212
"4350",4,-113.5665321,34.99607075
"1587",3,-112.1898333,32.74405183
"711",4,-110.9781732,32.09409446
"2617",4,-113.2279427,33.50076823
"5752",3,-111.9736594,36.4937338
"2401",3,-113.9323855,33.20939835
"5093",3,-111.9529718,35.86258311
"696",2,-112.5509858,31.8717753
"619",3,-111.0664905,31.99134076
"4869",3,-113.6686354,35.43520755
"2093",3,-114.2943005,32.87757366
"622",3,-110.7513544,32.03340803
"808",3,-110.5735919,32.23831649
"5888",3,-113.5863312,36.53785235
"4658",3,-114.1718079,35.17592758
"5887",3,-113.6971149,36.52137582
"2197",4,-114.3148923,32.96553134
"2921",3,-114.2473625,33.61517398
"4889",3,-111.4757323,35.74519876
"4491",3,-109.6452077,35.61020157
"2855",4,-110.1517557,34.10399732
"5940",4,-111.6027114,36.90490257
"5989",3,-113.558358,36.90521253
"1468",4,-113.5417821,32.45001457
"3466",3,-109.7055699,34.70016509
"3043",2,-111.9110887,34.0552206
"5940.1",4,-111.6027114,36.90490257
"2855.1",4,-110.1517557,34.10399732
"3354",4,-111.4254906,34.39335359
"4990",3,-111.8242681,35.78937978
"3771",3,-109.4252004,35.0037602
"4171",2,-110.3655394,35.25325049
"4150",3,-112.7664538,34.93262214
"5109",4,-110.1850621,36.08820622
"1612",4,-109.5333692,33.09301847
"4364",2,-112.0418598,35.21616044
"976",3,-112.7112321,32.12129346
"5196",4,-112.1921421,35.92055128
"2605",6,-114.5037888,33.29992816
"4766",4,-113.648121,35.34740171
"1272",3,-112.6620978,32.40196019
"4274",3,-110.4919318,35.32806048
"5699",2,-110.2857565,36.61787676
"2616",3,-113.3345099,33.48457557
"2416",4,-112.3367139,33.45031349
"3530",3,-113.9431963,34.21015362
"2545",4,-109.6724783,33.89063947
"5009",3,-109.7253456,36.05213423
"4372",4,-111.1668083,35.33300864
"5610",3,-111.3813729,36.3909142
"3658",4,-110.826901,34.74325398
"3443",2,-112.631919,34.31636975
"3161",4,-109.8752915,34.40886499
"3446",3,-112.3082346,34.36264045
"2214",3,-112.5125985,33.24306271
"5947",3,-113.960867,36.66347593
"5893",4,-113.0316924,36.61869679
"3363",3,-110.0159565,34.57271901
"5795",3,-113.6554771,36.3459086
"2092",3,-114.3998038,32.86037853
"1719",3,-109.441838,33.19437414
"818",4,-109.5178225,32.37041792
"12",2,-109.5621758,31.36741655
"367",3,-109.8629567,31.8748718
"4685",3,-111.2198911,35.59760458
"5857",3,-112.2340189,36.63960091
"2430",2,-110.7316852,33.66886777
"624",5,-110.5410814,32.06096095
"2540",4,-110.3185155,33.81184426
"3631",3,-113.7485972,34.33142762
"611",2,-111.9052042,31.87484077
"1713",3,-110.0824083,33.11680819
"1472",4,-113.120963,32.51507153
"2125",5,-110.8953624,33.37571623
"5706",1,-109.5037402,36.7089086
"4670",3,-112.8638762,35.37246516
"3527",3,-114.2652163,34.15933571
"5739",3,-113.6347307,36.25816235
"4965",4,-114.5621538,35.38751
"618",4,-111.171462,31.97712174
"1800",4,-111.8019582,32.9808221
"1580",5,-112.9292695,32.63525572
"5679",3,-112.6197499,36.31436101
"1267",3,-113.1877383,32.32250963
"4977",4,-113.2515739,35.5883222
"4789",3,-111.1276057,35.69999391
"4991",1,-111.7141679,35.80413194
"5512",4,-112.1386274,36.19968797
"4684",3,-111.3297877,35.58330844
"3333",3,-113.6877949,34.06770819
"2536",4,-110.7484711,33.75730568
"4249",3,-113.220637,34.9569871
"1294",1,-110.337417,32.72229663
"5978",3,-112.9808091,36.89807973
"3545",3,-112.218867,34.46599857
"5421",3,-110.5686466,36.31263963
"622.1",3,-110.7513544,32.03340803
"4488",2,-109.9756835,35.57139428
"3944",3,-112.8362,34.74090288
"1592",5,-111.6604446,32.81880341
"4045",4,-113.1809307,34.78112934
"4583",5,-111.0923421,35.52359403
"4679",4,-111.8786448,35.51029712
"5804",3,-112.6589546,36.49018144
"3633",3,-113.5332661,34.36444291
"5404",3,-112.4509506,36.06600035
"3842",4,-112.8168176,34.65289521
"4047",3,-112.9641061,34.81307643
"5997",3,-113.8020636,36.95990476
"5325",4,-109.5513538,36.34278141
"4265",2,-111.4772841,35.20178122
"627",4,-110.2254033,32.10155159
"5863",4,-111.5657664,36.72878852
"1889",4,-113.6206382,32.80252241
"3361",4,-110.2332285,34.5462364
"996",3,-110.606247,32.41560876
"5084",4,-112.9426245,35.72415402
"5501",4,-113.3526505,36.02750446
"2313",3,-112.424772,33.34672951
"3958",2,-111.3146332,34.9515962
"5323",4,-109.7738786,36.31719896
"1992.1",2,-114.0628365,32.82366288
"4157",3,-112.00472,35.03996336
"5807",5,-112.325945,36.53642499
"4139",0,-113.9590444,34.75396438
"5201",3,-111.6406154,35.99498515
"3028",3,-113.5204616,33.82032664
"4459",2,-113.1516552,35.14889145
"1997",4,-113.5347573,32.90710074
"436.1",3,-111.6609081,31.72742904
"1777",4,-114.3379649,32.59646024
"2415",5,-112.4433922,33.43494626
"3147",4,-111.7137573,34.17308625
"2534",4,-110.963222,33.72943496
"721",3,-109.9249612,32.23001715
"3020",3,-114.3747159,33.68589518
"3746",4,-112.2562193,34.64223358
"5622",1,-110.0458926,36.55611492
"5989.1",3,-113.558358,36.90521253
"2725",4,-113.0340046,33.6209524
"2316",1,-112.1049608,33.39248734
"1690",4,-112.5255417,32.78630584
"5429",3,-109.6787609,36.41839652
"2232",3,-110.3768802,33.53288303
"4680",4,-111.7689577,35.52510329
"1902",3,-112.244606,33.00901017
"2515",4,-112.9953926,33.44474568
"5696",3,-110.6203168,36.57730623
"2946",3,-111.5702639,34.01122717
"440",4,-111.2424477,31.78556978
"3061",3,-109.534159,34.35891541
"4681",4,-111.6592282,35.53980757
"4992",3,-111.604025,35.81878186
"2835",3,-112.3039612,33.81843303
"1193",5,-110.321308,32.63366454
"5944.1",3,-111.1553183,36.96242305
"3550",3,-111.6777396,34.54068265
"3254",3,-111.2997256,34.31947531
"4797",5,-110.2456616,35.80998098
"3658.1",4,-110.826901,34.74325398
"2649",2,-109.5801922,33.99199379
"3027",4,-113.6274031,33.80386996
"3050",3,-111.1568253,34.15713498
"5818",2,-110.9899274,36.71211964
"4074",3,-109.8011224,35.23084175
"2137",3,-109.610303,33.53627172
"5750",4,-112.4176193,36.43317266
"5306",3,-111.6589744,36.08307394
"3224",3,-114.5233563,33.84427793
"1998",4,-113.4290088,32.92349324
"1298",3,-109.9127997,32.77539424
"1680",4,-113.5811228,32.62630046
"3326",4,-114.4375413,33.94937512
"4875",3,-113.0126515,35.53247326
