Class,lon,lat
0,-111.58881,33.5551
3,-111.6053,34.73174
3,-113.18093,34.78113
4,-114.14081,33.63221
1,-113.89197,33.0334
1,-111.5391,31.65351
3,-113.46362,32.09725
2,-111.54946,35.55441
3,-111.0223,35.17068
3,-109.751,34.33332
3,-112.80529,35.10859
5,-112.49395,33.15483
1,-112.80951,36.65032
3,-113.45618,32.55459
3,-114.33553,33.05347
2,-113.62076,34.26007
3,-111.51707,33.74633
2,-109.66413,36.96122
1,-112.05286,33.67233
2,-111.30518,33.23059
1,-111.71445,36.89026
3,-114.38692,35.59733
1,-112.74257,35.84356
1,-111.641,35.45168
5,-111.47256,36.83137
3,-113.72828,34.24353
1,-113.66664,32.52164
5,-110.46639,35.7831
4,-110.29875,31.91065
1,-113.07228,35.79614
3,-112.71572,35.21225
2,-111.38137,36.39091
2,-110.49237,32.97454
1,-112.73246,33.75652
1,-111.58579,35.73067
3,-111.27928,34.77513
2,-110.25349,33.45779
2,-113.61404,34.71603
1,-111.60654,33.64342
2,-111.65997,33.90831
0,-110.73833,33.12417
3,-110.97019,34.90589
2,-109.44041,35.72399
4,-111.07915,34.89182
2,-113.51319,34.27652
3,-112.57441,35.59529
2,-112.91183,36.09155
0,-109.71759,33.52344
1,-112.21887,34.466
1,-113.47576,32.64274
