"","Class","lon","lat"
"1109",4,-110.56678,33.96167
"303",3,-113.02561,32.07376
"366",0,-110.51687,32.51793
"2566",3,-109.88846,36.93544
"645",5,-109.44184,33.19437
"2638",3,-113.51683,36.72973
"1330",5,-110.21686,34.45781
"1316",4,-112.05537,34.21665
"861",1,-112.29975,33.27384
"2071",4,-113.90773,35.48974
"2416",4,-112.61975,36.31436
"487",4,-111.20198,32.69985
"1895",5,-112.40735,35.34673
"1858",4,-111.18446,35.42122
"1247",3,-109.42569,34.37156
"1159",3,-109.93569,34.13034
"2390",2,-110.38031,36.51621
"2020",3,-114.32292,35.3343
"1139",5,-112.08946,33.84879
"216",3,-110.97817,32.09409
"1480",2,-112.56205,34.50806
"176",4,-111.9052,31.87484
"1123",3,-113.80065,33.59476
"279",5,-111.64319,32.18487
"2320",3,-112.91183,36.09155
"509",3,-113.64688,32.43351
"875",4,-110.59115,33.5057
"144",5,-112.20108,31.74105
"2226",5,-112.65205,35.9471
"1496",4,-110.8269,34.74325
"1584",2,-110.75216,34.93373
"1460",4,-110.04832,34.74959
"161",3,-110.4198,31.98587
"1539",6,-110.84403,34.83156
"372",3,-109.88154,32.59801
"928",1,-109.42617,33.73889
"632",5,-110.82811,33.02178
"960",2,-111.26768,33.59851
"892",4,-113.7002,33.15478
"1837",4,-113.47813,35.10031
"1149",1,-111.01452,33.99459
"1833",3,-113.91277,35.03413
"290",4,-110.48437,32.34064
"2085",4,-112.37412,35.71409
"2588",4,-112.0304,36.75774
"916",5,-111.14334,33.52439
"702",2,-114.04256,32.73564
"550",3,-114.29697,32.42043
"252",4,-110.67897,32.22456
"1305",4,-113.23865,34.04514
"2060",2,-109.9306,35.93788
"856",4,-112.83156,33.19616
"2682",2,-114.02474,36.92646
"1344",6,-113.79504,34.0511
"1417",3,-110.03212,34.66116
"1434",3,-113.08245,34.34128
"611",4,-113.05386,32.70753
"1553",2,-114.22041,34.43981
"407",2,-110.53317,32.60655
"2582",4,-112.80951,36.65032
"1799",3,-112.36931,35.17067
"2197",6,-110.5344,36.13616
"54",2,-111.08743,31.53384
"2645",3,-112.73792,36.84173
"2432",6,-110.73176,36.56358
"920",4,-110.71494,33.58042
"250",3,-110.88963,32.19676
"2657",4,-113.87105,36.76788
"1327",4,-110.54212,34.41737
"25",2,-110.11511,31.48002
"1526",6,-112.36456,34.62696
"2350",4,-109.58339,36.51951
"1204",3,-114.48129,33.66865
"180",5,-111.48615,31.93388
"2661",3,-113.42631,36.8338
"1339",5,-114.33057,33.96658
"1559",4,-113.57356,34.54026
"657",3,-113.60086,32.71442
"592",3,-109.85336,33.05442
"2205",2,-109.64655,36.24168
"891",2,-113.8062,33.13814
"1244",3,-109.751,34.33332
"694",3,-109.56404,33.27036
"388",3,-112.53834,32.32922
"664",5,-112.8616,32.82757
"1370",6,-110.55886,34.50575
"2080",4,-112.92287,35.63625
"2328",4,-112.02799,36.21473
"1665",3,-111.98621,34.95185
"600",4,-114.21239,32.52558
"2251",2,-109.88508,36.30425
"2222",1,-113.09225,35.88402
"1720",3,-110.6941,35.21242
"850",2,-113.46833,33.09969
"1250",3,-114.28888,33.7909
"1180",1,-112.53712,33.87582
"2150",3,-110.40662,36.06144
"1047",4,-112.1599,33.65723
"1730",3,-109.59757,35.34494
"349",2,-112.30969,32.2717
"915",4,-111.25035,33.51013
"2139",3,-111.6223,35.90689
"52",3,-111.29614,31.50524
"2342",3,-110.4746,36.41447
"2146",3,-110.84926,36.00668
"657.1",3,-113.60086,32.71442
"423",4,-113.29274,32.30633
"1649",3,-113.7222,34.6995
"2621",3,-112.27249,36.81551
"2343",1,-110.36334,36.42796
"298",4,-109.63883,32.44642
"735",5,-110.54159,33.24018
"784",3,-110.55808,33.3287
"1588",4,-110.31564,34.9882
"2149",3,-110.51734,36.04791
"2015",4,-109.69318,35.87539
"298.1",4,-109.63883,32.44642
"1012",2,-110.85587,33.74342
"695",4,-109.45707,33.28305
"1116",3,-114.54571,33.47564
"1050",3,-111.83867,33.70223
"265",4,-113.11126,31.96942
"2659",4,-113.64878,36.80105
"423.1",4,-113.29274,32.30633
"2469",3,-111.41772,36.56712
"888",5,-114.12393,33.08764
"796",2,-114.2943,32.87757
"1947",5,-111.98829,35.49539
"405",3,-110.74489,32.57903
"1853",4,-111.7323,35.34887
"2105",4,-110.16842,35.9999
"2183",2,-112.08192,35.93564
"2339",5,-110.80816,36.37337
"757",6,-113.42901,32.92349
"416",1,-109.57867,32.72545
"628",2,-111.25341,32.96529
"2677",4,-113.44698,36.92156
"145",2,-112.09661,31.75624
"1934",2,-113.40966,35.29234
"1484",6,-112.12926,34.56928
"1128",4,-113.26711,33.67688
"762",5,-112.89962,33.00398
"2606",4,-113.93968,36.5758
"77",2,-110.99964,31.6367
"2648",4,-112.40339,36.88818
"1483",3,-112.23752,34.55412
"2193",4,-110.97738,36.08092
"2616",2,-112.8294,36.73818
"1467",4,-113.96374,34.29801
"2520",1,-110.31964,36.79438
"2477",1,-110.52601,36.67916
"574",4,-111.7664,32.80405
"515",1,-113.01565,32.53109
"1041",2,-112.80124,33.56455
"2375",2,-112.04686,36.30274
"2438",3,-110.06252,36.64441
"1643",2,-114.37018,34.59824
"645.1",5,-109.44184,33.19437
"866",3,-111.55348,33.37841
"102",2,-110.91163,31.73946
"982",2,-114.0588,33.28051
"1744",3,-113.22064,34.95699
"413",5,-109.89715,32.68671
"2306",5,-114.45137,35.86027
"2168",2,-113.73046,35.69856
"1634",3,-110.33223,35.07656
"941",4,-113.40159,33.29218
"933",2,-114.25033,33.15855
"1125",6,-113.58737,33.62791
"965",3,-110.73169,33.66887
"2240",4,-111.10576,36.15502
"2095",3,-111.27334,35.86212
"778",4,-111.19857,33.24491
"1350",1,-113.15089,34.14925
"2033",7,-112.90316,35.54833
"1811",5,-111.05724,35.34716
"2240.1",4,-111.10576,36.15502
"1210",4,-113.84115,33.77066
"1537",4,-111.06174,34.80355
"1201",4,-109.62694,34.25764
"2320.1",3,-112.91183,36.09155
"1472",1,-113.42553,34.3808
"2405",1,-113.83446,36.13729
"1747",3,-112.89461,35.00486
"2223",2,-112.98227,35.89994
"1190",3,-111.46263,34.02577
"1380",1,-109.47213,34.63715
"806",5,-113.23679,33.04412
